"","MD_RTLC_01","MD_RTLC_02","MD_RTLC_03","MD_RTLC_04","MD_RTLC_05","MD_RTLC_06","MD_RTLC_07","MD_RTLC_08","MD_RTLC_09","MD_RTLC_10","MD_RTLC_11","MD_RTLC_12","MD_RTLC_13","MD_RTLC_14","MD_RTLC_15","MD_RTLC_16","MD_RTLC_17","MD_RTLC_18","MD_RTLC_19","MD_RTLC_20","MD_RTLC_21","MD_RTLC_22","MD_RTLC_23","MD_RTLC_24"
"1",37,101,75,9550,21,22,37,142,249,685,30,63,15139,64,147,131,6044,32,153,34,6,73,233,56
"2",207,69,218,125,7378,154,182,81,1,73,167,145,56,3,2,181,110,56,176,48888,1,58,96,239
"3",37,90,95,67,446,97,83,138,105,30,11488,67,109,48,107,195,23,52,35,70,60,59,172310,38
"4",1,188,36,124,49,187,174,64,19,101,34,74,209,324,70,104,54849,136,165,324,69,40484,85,7
"5",17250,212,166,672,141,19,38,124,281,244,317,98,54,159,107,13,1,174,168,56938,26,167,125,31
"6",1,56,64,97420,81,63,209,21,134,90,48,35,29,103,19,91,113,75,33,59759,1169,218,177,126
"7",157,229,31,158,136,182,24,236,193,90,64,53,31,13,10468,100,6,953,69,123,149,109,42,126
"8",133,158,96,243181,172,201,292,82,189,122,1077,27,107,211,16,206,69,3959,81,44,9,75,31,82
"9",25,29,204,112,334,43,14,175,879,33799,54,65,42,149,113,316228,37,78,31,269,35,100,257,208
"10",6,21,90,215,55,215,324,64,719,8913,234,197,234,189,138,7,48559,112,97,19,137,10,17660,92
"11",250,88,8,282,66,180,133,18275,70587,66054,23,539,22,338,227,13,127,43,8641,12,91,83,33,54
"12",107,127,20,83,40,4,1059,191,1069,252,43,237,36,73,222,145,112,39,5294,85,165,248,100,181
"13",176,18,14,94,2696,579,50,18,13,1,61,46,16,1,48,166,125,148366,193824,12,193,26,15,82
"14",89,3,21,80,180,30420,35,304,97,68,3,4,3,169,147,31,17,226,885,31,83,102,127,81
"15",52,94,129,147,265,23,37,81136,742,49503,169,63,54,223,29,157,316228,201,5,80,272,198,76,128
"16",42,9,62,77,160,3552,4564,120,85,33,131,1,98,188,74,145,262,27,23,6395,23774,287,104,16
"17",8,72,147,39,78,151,54,113,3612,102,71,62,196,27,207,105,67,48,14,95,10360,96,7,39
"18",36,228,97,108,1,2194,13,193,3304,193,43,106,93,7734,90,35,179,9,347,4563,41,149,3449,31
"19",351,41,107,197,181,62,450,70,131,40,46,12,49,45,80,28,159,313,32,112,2,52,91,28
"20",57,3626,73,74,255,285,108,296,762,165,37,194,13446,168,119,164,124,81,101,74,2150,55,823,15
"21",142,186,101,93,350,2582,190,110,4,658,88,75,40,178,218,53,4,87,252,59,123,40,49,3
"22",143,120,72,135,28,96,51,80,40,139,265,47,10,100,91,145,5,5,16,76,1526,161,97,72
"23",247,127,18,2,8,121,238,249,66,1488,36,37,79,123,77,102,174,8,30,81,41348,133,332,46
"24",72,261,84,153,156,733,307,87,121,2104,27,10,93,98,164,158,1,270,108,112,159,80283,94,176
"25",63,166,87,19,378,127,193,145,1,277,19,93,96,13121,29,211098,7467,32,7,147,271,23,107,4
"26",56,107,46,103,21,368,73,331,86,162548,255,158,3,81,10,239,5,493,108,165,66,62,111,13
"27",57,28,190,200,125,252,139,215,96,225,102,75,128,70,80,45600,37,127,13093,97,172,10,108,116
"28",139,105,153,217,29,57,161,4449,75,84,112,139,97,157,51,999,25,280,79,15985,1205,14,114,1
"29",112,33,177,89788,660,237,384,87,1637,18,183,85,3,229,128,28,155,31,84,40,32,131,18391,126
"30",651,18,94,313,1288,198,113,872,3,12,275,232,246,117,79,5,183,74,21,198,89,50,91,32
"31",50,23,12,82,128121,129,32,1832,29545,23,117,27,1043,4,135,25,103,126,71,220,97,4,73,55
"32",6,187,29,252365,179,25937,211,77,160,32,7,153,27,150,101,58,114,84,91,82,153,65,29,129
"33",20,67,165,8,47,9,200,168,207,20895,71,64,26,217,259,87,291,406,47,40,147,3,117,14
"34",288,149,47,64,7,610,486,162,79,200,33,185,4,33,84,263,56,16,7,361,7525,220,154,212
"35",28,81,121,9,48,58,894,34,11221,77,32,83,37,7,98,234,11,120,57,98,40715,109,109,287
"36",116,3514,269,473,50,657,2110,176,247,226,2,87,437,113,161,62,227,176,193,72,111,288,164,111
"37",217,96,47,106,63,28,26,109,150,44,155,9,99,14,79,334,26,52,1512,121,52701,57,5350,178
"38",83,51,67,120,31,230,407,134,79,40,85,91,1,280,30,121,41632,8,973,182,18,89390,182,54
"39",110,204,253,12,9496,207,39,484,203,238,19,231,140,291,3895,100,477,117,209,29,63,323,110,295
"40",295,113,21,174,51,24,77,261,43,172,163,4,217,7,74,25,219,575,77,22,99,132,2249,107
"41",75,14,173,259,116,188,46,662,6,54,13,202,96,76,102,125,87,280,27,29,79,836,5342,40
"42",3684,909,3,30,20,253,278,176,257,145,19,274,112,67,163,80,11,7595,39,150,220,751,26,176
"43",288,37,202,1834,21,57,116,287,17,22,124,102,239,66,17,152,8097,84,105,171,223,82,124351,10
"44",1265,231,230,182,27,15683,100,172612,98,15638,13,76,4,1,43,129,239,4,63,205,215,216,13438,133
"45",109,223,109,229,267,483,821,146,207,55,207,10,239,76,150,17,17075,597,134,22584,194,1,294,55
"46",105,144,232,40,110,105,246,204,290,4255,66,28,92,163,91,71,22,11,82,234,110,139,761,108
"47",100,70,27,27,76,256,45,30708,140,111,171,141,37,183,133,64,53522,13,194,64,4,44,366,93
